session_code,session_title,repeat,abstract,type,speakers,start_time,end_time,venue,room
ARC321,Build Machine Learning Solutions on Data Lakes,-,"As customers move from building data lakes and analytics on AWS to building machine learning solutions, one of their biggest challenges is getting visibility into their data for feature engineering and data format conversions for using AWS SageMaker. In this workshop, we demonstrate best practices and build data pipelines for training data using Amazon Kinesis Data Firehose, AWS Glue, Amazon EMR (Spark), and Amazon SageMaker, and then we use Amazon SageMaker for inference.",Workshop,"Joseph Glover,Gitansh Chadha",2018-11-28 11:30:00,2018-11-28 13:45:00,Aria East,"Plaza Level, Orovada 8, T1"
ALX301,[REPEAT 2] How to Train Your Alexa Skill Language Model Using Machine Learning,2,"In order to create an engaging Alexa skill, you must have a well-thought-out language model for your voice UI. In this session, learn how to make your Alexa skill more delightful to customers by optimizing your language model, providing the correct training data for your custom intents, and using specific strategies to improve new and existing language models. Come prepared for an interactive conversation.",Chalk Talk,"Fawn Draucker,Memo Doring",2018-11-28 11:30:00,2018-11-28 12:30:00,Venetian,"Level 3, Murano 3202, T1"
AIM322,[REPEAT 1] Architecture Patterns for Natural Language Solutions: Tips & Tricks,1,"Amazon brings natural language processing, automatic speech recognition, text-to-speech, and neural machine translation technologies within reach of every developer. Come to this session and learn how to build smarter applications or automate workflows with AWS language services.",Builders Session,Niranjan Hira,2018-11-28 11:30:00,2018-11-28 12:30:00,Aria West,"Level 3, Starvine 3, Table 3, T1"
AIM416,Build an ETL Pipeline to Analyze Customer Data,-,"Consumers today freely express their satisfaction or frustration with a company or product online through social media, blogs, and review platforms. Sentiment analysis can help companies better understand their customers' opinions and needs, and make more informed business decisions. In this workshop, learn how to use Amazon Comprehend to analyze sentiment. Also learn how to build a serverless data processing pipeline that consumes raw Amazon product reviews from Amazon S3, cleans the dataset, extracts sentiment from each review, and writes the output back to Amazon S3.",Workshop,Roy Hasson,2018-11-27 12:15:00,2018-11-27 14:30:00,Venetian,"Level 4, Lando 4205, T2"
API401,[REPEAT 1] Manage Long-Lived Transactions with AWS Step Functions,1,"AWS Step Functions is a fully-managed serverless workflow-management service. Using visual workflows, you can easily manage long-running processes and coordinate the components of distributed applications and microservices through visual workflows. Join us to learn how you can use Step Functions to implement the Saga design pattern, which is particularly useful for dealing with the complexities of a long-lived transaction that spans across distributed components in a microservices architecture. You need your own laptop with administrator privileges, both the AWS CLI and AWS SAM CLI installed, and an active AWS account with power user access.",Builders Session,Stephen Liedig,2018-11-28 11:30:00,2018-11-28 12:30:00,Aria West,"Level 3, Starvine 3, Table 6, T1"
WPS301,[REPEAT 1] Building & Architecting ML Workstreams for Topic Modeling,1,"Decoupling and optimizing machine learning (ML) workstreams is top of mind for all AWS customers. In this session, we use Amazon SageMaker and Amazon Comprehend to build and architect a streamlined ML workstream that shows how to extract keywords and topic modeling from text. We train models and cluster articles, and we find insights and relationships between the data and correlate it to provide business value. We also explore the workstream integration with Amazon S3 and AWS Glue. We discuss different approaches, best practices, and building blocks of an ML environment. This session enables ML developers and architects to create decoupled ML workstreams for any text data, such as news feeds, case management, and journals.",Builders Session,Kiran Bakshi,2018-11-28 13:00:00,2018-11-28 14:00:00,Mirage,"Grand Ballroom B, Table 8, T1"
AIM317,[REPEAT] Scalable Text Mining for ETL Solutions,0,"While many ETL tools can handle structured data, very few can reliably process unstructured data and documents. In this session, learn how you can use Amazon Comprehend to address unstructured data extraction and transformation at scale so that key information can be extracted and used downstream for data integration and analytics.",Builders Session,Nino Bice,2018-11-28 13:00:00,2018-11-28 14:00:00,Mirage,"Grand Ballroom B, Table 10, T1"
SRV318,[REPEAT 1] Voice-Powered Serverless Analytics,1,"As a business manager, imagine asking Alexa within a skill that was specifically built for your organization for key insights into your business, such as “Who is our largest customer in Northern California?” or “How has our sales volume grown between Q1 and Q2 in our Asian markets?” In this workshop, you build an Alexa skill that queries metrics from a data lake that you define. The goal is for you to understand how to uncover key performance indicators (KPIs) from a dataset, build and automate queries with AWS Lambda, and access them via Alexa voice-enabled devices. Startups can make available voice-powered analytics to query at any time, and enterprises can deliver these types of solutions to stakeholders so they can have easy access to the business KPIs that are top of mind.",Workshop,Adam Westrich,2018-11-28 14:30:00,2018-11-28 16:45:00,Aria East,"Plaza Level, Orovada 8, T1"
ALX311,[REPEAT 8] Designing the Voice User Interface for an Alexa Skill,8,"In this session, discover the process of thinking through the design of a voice experience using intents, slots, entity resolution, and dialog management.",Builders Session,Sohan Maheshwar,2018-11-28 14:30:00,2018-11-28 15:30:00,Aria West,"Level 3, Starvine 3, Table 9, T1"
SRV306,"[REPEAT] Managing Identity Management, Authentication, and Authorization for Serverless Applications",0,"In this session, you build a microservices-based application demonstrating end-to-end authentication and authorization through use of Amazon Cognito, Amazon API Gateway, and Application Load Balancer turn-key authorization, AWS Lambda, and all things IAM. You build an end-to-end functional app with a secure identity provider and identity federation showcasing end-user auth patterns, as well as service-to-service auth capabilities.",Workshop,"Stefano Buliani,Justin Pirtle,Lia Vader,Kyle Somers",2018-11-27 08:30:00,2018-11-27 10:45:00,MGM,"Level 3, Premier Ballroom 309, T1"
ARC335,[REPEAT] Failing Successfully in the Cloud: AWS Approach to Resilient Design,0,"AWS global infrastructure provides the tools customers need to design resilient and reliable services. In this session, we discuss how to get the most out of these tools.",Chalk Talk,"David Yanacek,Becky Weiss",2018-11-26 15:15:00,2018-11-26 16:15:00,Mirage,"Martinique A, T2"
SRV323,Digital Transformation Through APIs,-,"An effective API strategy is critical to digital transformation and rapid innovation. In this session, we deep dive into advanced capabilities of Amazon API Gateway that can enable customers to build modern applications.",Session,Thomas Fuller,2018-11-27 08:30:00,2018-11-27 09:30:00,Aria East,"Level 2, Mariposa 5, T1"
ALX311,[REPEAT 4] Designing the Voice User Interface for an Alexa Skill,4,"In this session, discover the process of thinking through the design of a voice experience using intents, slots, entity resolution, and dialog management.",Builders Session,Sohan Maheshwar,2018-11-27 08:30:00,2018-11-27 09:30:00,Mirage,"Grand Ballroom D, Table 10, T1"
ALX345,[REPEAT 1] Solve Common Voice UI Challenges with Advanced Dialog Management Techniques,1,"This talk covers how skill developers can leverage ASK dialog management features to create fluid, natural conversations. We review common challenges with complex multi-turn dialogs, and we discuss how to leverage dialog management features to delight your customers. Learn how dialog features can be applied to contextually tune interpretation of a conversation and simplify backend code.",Chalk Talk,"Josey Sandoval,Carlos Ordonez",2018-11-27 08:30:00,2018-11-27 09:30:00,MGM,"Level 1, South Concourse 104, T1"
ARC210,[REPEAT] SaaS Jumpstart: A Primer for Launching Your SaaS Journey,0,"Adopting a SaaS model is no trivial effort. Wandering into the universe of multi-tenancy means tackling a broad range of new architectural challenges. How do you automate the onboarding and provisioning of new tenants? How do you secure a shared multi-tenant infrastructure and prevent any flavor of cross-tenant access? How do you effectively partition tenant data? These are amongst a core set SaaS architecture topics in this chalk which is aimed at equipping SaaS newcomers with a clear view of some of the best practices associated with delivering SaaS solutions on AWS. The goal here is to explore and discuss fundamental architectural strategies of SaaS and highlight key considerations that will shape the security, agility, and success of your SaaS applications.",Chalk Talk,Michael Beardsley,2018-11-27 09:15:00,2018-11-27 10:15:00,Venetian,"Level 4, Lando 4304, T2"
AIM333,Unsupervised Learning with Amazon SageMaker,-,"How do you use machine learning with data that isn't labeled? The unsupervised learning capabilities of Amazon SageMaker can easily handle unlabeled data. In this chalk talk, we discuss the intricacies of unsupervised algorithms that are built into Amazon SageMaker, including clustering with k-means and anomaly detection with Random Cut Forest.",Chalk Talk,Tom Faulhaber,2018-11-27 09:15:00,2018-11-27 10:15:00,Venetian,"Level 3, Murano 3302, T2"
API302,Serverless State Management & Orchestration for Modern Apps,-,"Keeping track of state and orchestrating the components of a distributed application is complex. AWS Step Functions makes the job simpler, faster, and more intuitive. In this session, learn how to leverage AWS Step Functions to design and run workflows for your serverless, containerized, and instance-based architectures. We explore practical applications of orchestration spanning different industries and workloads. For each, we walk through the architecture, lessons learned, and business outcomes. Expect to leave this session with a practical understanding of how to use orchestration to express your application’s business logic more productively while improving its resilience.",Session,"Andre Dufour,Nick Whalen",2018-11-27 10:45:00,2018-11-27 11:45:00,MGM,"Level 1, Grand Ballroom 122, T2"
SRV315,"Alexa, Ask Jarvis to Create a Serverless App for Me",-,"Today, we can build and deploy a serverless application in minutes without having to write a line of code using pre-built AWS CloudFormation templates, or services such as the AWS Serverless Application Repository. But can we push the limits even more? In this workshop, we use the Serverless Application Repository combined with Amazon Alexa to create Iron Man's Jarvis look-a-like skill. You learn hands-on with Alexa, Amazon Lex, Amazon SageMaker, and the AWS Serverless Application Repository.",Workshop,"Aleksandar Simovic,Slobodan Stojanovic",2018-11-27 11:30:00,2018-11-27 13:45:00,Aria East,"Plaza Level, Orovada 8, T1"
ALX311,[REPEAT 5] Designing the Voice User Interface for an Alexa Skill,5,"In this session, discover the process of thinking through the design of a voice experience using intents, slots, entity resolution, and dialog management.",Builders Session,Max Amordeluso,2018-11-27 11:30:00,2018-11-27 12:30:00,Mirage,"Grand Ballroom B, Table 7, T1"
ARC402,[REPEAT 1] Building Multi-Region Microservices,1,"In this session, participate in a hands-on exercise where you create, verify, and test a serverless solution across multiple regions using AWS Lambda and Amazon DynamoDB global tables.",Builders Session,Edin Zulich,2018-11-27 13:00:00,2018-11-27 14:00:00,Aria West,"Level 3, Starvine 3, Table 8, T1"
AIM419,Train Models on Amazon SageMaker Using Data Not from Amazon S3,-,"Questions often arise about training machine learning models using Amazon SageMaker with data from sources other than Amazon S3. In this chalk talk, we dive deep into training models in real time using data from Amazon DynamoDB or a relational database. We demonstrate how training models with Amazon SageMaker is quick and easy, regardless of the data source.",Chalk Talk,Keith Steward,2018-11-27 13:00:00,2018-11-27 14:00:00,Aria West,"Level 3, Starvine 7, T1"
AIM306,[REPEAT] Build Custom Models for AWS DeepLens with Amazon SageMaker,0,"In this session, you will learn how to build and deploy computer vision models using the AWS DeepLens deep-learning-enabled video camera and Amazon SageMaker.",Builders Session,maheandra Bairagi,2018-11-27 14:30:00,2018-11-27 15:30:00,Aria West,"Level 3, Starvine 10, Table 1, T1"
AIM322,[REPEAT] Architecture Patterns for Natural Language Solutions: Tips & Tricks,0,"Amazon brings natural language processing, automatic speech recognition, text-to-speech, and neural machine translation technologies within reach of every developer. Come to this session and learn how to build smarter applications or automate workflows with AWS language services.",Builders Session,Niranjan Hira,2018-11-27 14:30:00,2018-11-27 15:30:00,Aria West,"Level 3, Starvine 10, Table 2, T1"
CON311,[REPEAT 1] Migrating to AWS Fargate,1,"AWS Fargate makes it easy to run containers by removing the need to provision, scale, or manage servers. In this session, we walk through the journey of migrating to AWS Fargate, including best practices for moving non-containerized workloads from virtual machines and containerized workloads from popular container management platforms.",Session,Archana Srikanta,2018-11-27 15:15:00,2018-11-27 16:15:00,Bellagio,"Level 1, Bellagio Ballroom 6, T2"
AIM307,[REPEAT] Deep Dive on Amazon Rekognition,0,"Join us for a deep dive on the latest features of Amazon Rekognition. Learn how to easily add intelligent image and video analysis to applications in order to automate manual workflows, enhance creativity, and provide more personalized customer experiences. We share best practices for fine-tuning and optimizing Amazon Rekognition for a variety of use cases, including moderating content, creating searchable content libraries, and integrating secondary authentication into existing applications.",Session,"Jon Turow,Ranju Das,Rudi De Sousa",2018-11-27 15:15:00,2018-11-27 16:15:00,Venetian,"Level 2, Venetian F, T2"
WPS301,[REPEAT 2] Building & Architecting ML Workstreams for Topic Modeling,2,"Decoupling and optimizing machine learning (ML) workstreams is top of mind for all AWS customers. In this session, we use Amazon SageMaker and Amazon Comprehend to build and architect a streamlined ML workstream that shows how to extract keywords and topic modeling from text. We train models and cluster articles, and we find insights and relationships between the data and correlate it to provide business value. We also explore the workstream integration with Amazon S3 and AWS Glue. We discuss different approaches, best practices, and building blocks of an ML environment. This session enables ML developers and architects to create decoupled ML workstreams for any text data, such as news feeds, case management, and journals.",Builders Session,Hannah Marlowe,2018-11-27 16:00:00,2018-11-27 17:00:00,Aria West,"Level 3, Starvine 3, Table 9, T1"
ALX304,Tailor Your Alexa Skill Responses to Deliver Truly Personal Experiences,-,"Delivering truly personal responses to customers is one of the most engaging features of an Alexa skill. In this session, learn the different approaches and best practices in creating responses that are tailored to each one of your customers. By applying what you learn, you can keep them coming back to your voice experience.",Chalk Talk,"Benoit Nachawati,Andrea Muttoni,Sanket Nayak",2018-11-27 16:00:00,2018-11-27 17:00:00,MGM,"Level 3, North Concourse 306, T1"
AIM340,Build an Intelligent Multi-Modal User Agent with Voice and NLU,-,"Sophisticated AI capabilities can help us manage the exploding number of information sources and tools required to perform our daily tasks. In this chalk talk, we describe how intelligent agents can be designed to quickly and efficiently complete tasks delegated by users. To build this intelligent agent, we combine a number of AWS services, such as Amazon Polly, Amazon Lex, Amazon Rekognition, Amazon Sumerian, and Amazon ElastiCache along with other technologies, such as CLIPS and Reinforcement Learning. Come hear us discuss the project’s architecture, implementation, and demo progress made to date.",Chalk Talk,Keith Steward,2018-11-27 16:00:00,2018-11-27 17:00:00,MGM,"Level 1, South Concourse 104, T1"
ALX405,[REPEAT 1] Build a Game for Echo Buttons - an Alexa Gadget!,1,"Games are an integral part of our lives, and they enable us to build more creatively on every platform. In this session, we talk about bringing your IP to Alexa and engaging with players on tens of millions of Alexa devices. Participate in this interactive session, and learn how to build a game that incorporates gaming-friendly Alexa Gadgets called Echo Buttons. This session is aimed at advanced developers who have previously built Alexa skills. Bring your laptop. Also be sure to have an AWS account and credentials for the Amazon Developer Portal.",Workshop,"Chachi Kruel,Tanmayee Raje",2018-11-27 14:30:00,2018-11-27 16:45:00,MGM,"Level 3, Premier Ballroom 318, T1"
API304,[REPEAT 2] Build a Serverless Media Analysis & Image Processing Solution,2,"Use AWS Step Functions along with Amazon Rekognition, Amazon Transcribe, and Amazon Comprehend to build a serverless application that extracts meaningful data from audio, image, and video files.",Builders Session,Mark Stephens,2018-11-28 11:30:00,2018-11-28 12:30:00,Aria West,"Level 3, Starvine 10, Table 8, T1"
ARC418,[REPEAT] Deconstructing SaaS: Deep Dive into Building Multi-Tenant Solutions on AWS,-,"SaaS presents developers with a unique blend of architectural challenges. While the concepts of multi-tenancy are straightforward, the reality of making all the moving part work together can be daunting. For this session, we’ll move beyond the conceptual bits of SaaS and look under the hood of a SaaS application. The goal here is to examine the fundamentals of identity, data partitioning, and tenant isolation through the lens of a working solution and highlight the challenges and strategies associated with building a next-generation SaaS application on AWS. We’ll look at the full lifecycle of registering new tenants, applying security policies to prevent cross-tenant access, and leveraging tenant profiles to effectively distribute and partition tenant data. The goal here is to connect many of the conceptual dots of a SaaS implementation, highlighting the tradeoffs and considerations that will shape your approach to SaaS architecture.",Session,Tod Golding,2018-11-28 11:30:00,2018-11-28 12:30:00,Venetian,"Level 3, San Polo 3405, T1"
AIM415,[REPEAT 1] Capture Voice of Customer Insights with NLP & Analytics,1,"Understanding your customers is easier today than ever before. Natural language capabilities can capture a wealth of information, such as user sentiment and conversational intent. This workshop teaches you how to build an analytics pipeline that includes natural language processing (NLP) to better understand how to improve the customer experience. Attendees learn how to use AWS services, including Amazon Comprehend and Amazon Transcribe, to process and perform analysis on customer data, such as contact center call recordings.",Workshop,"Ben Snively,Yasser El-Haggan",2018-11-30 09:15:00,2018-11-30 11:30:00,Mirage,"Grand Ballroom G, T2"
CON306,[REPEAT] Observability for Modern Applications,0,"In modern, microservices-based applications, it’s critical to have end-to-end observability of each microservice and the communications between them in order to quickly identify and debug issues. In this session, we cover the techniques and tools to achieve consistent, full-application observability, including monitoring, tracing, logging, and service mesh.",Session,"Tony Pujals,Evgeny Shulyatyev",2018-11-28 17:30:00,2018-11-28 18:30:00,Aria East,"Level 2, Mariposa 5, T1"
SRV361,[REPEAT 1] Serverless Anti-Patterns to Avoid,1,"With cloud computing ushering in an era of agility and scalability, it’s also served as a catalyst, helping computing evolve from the physical and virtual servers of on premises to more flexible paradigms, including containers and more recently, serverless computing. Built on the same programming languages and tools used for traditional application architectures, serverless allows organizations to leverage their existing development skills, but like all new approaches, it also brings challenges. While traditional design approaches still apply to serverless, it’s easy to fall prey to serverless anti-patterns, including tight coupling, anemic monitoring, and monolithic coding. In this session, ex explore common serverless anti-patterns, and how to avoid them or right-design them with AWS Lambda and other related services.",Chalk Talk,"Mark Easton,Brajendra Singh",2018-11-28 13:45:00,2018-11-28 14:45:00,Aria West,"Level 3, Starvine 2, T2"
SRV305,[REPEAT] Inside AWS: Technology Choices for Modern Applications,0,"AWS offers a wide range of cloud computing services and technologies, but we rarely give opinions about which services and technologies customers should choose. When it comes to building our own services, our engineering groups have strong opinions, and they express them in the technologies they pick. Join Tim Bray, senior principal engineer, to hear about the high-level choices that developers at AWS and our customers have to make. Here are a few: Are microservices always the best choice? Serverless, containers, or serverless containers? Is relational over? Is Java over? The talk is technical and based on our experience in building AWS services and working with customers on their cloud-native apps.",Session,Tim Bray,2018-11-28 14:30:00,2018-11-28 15:30:00,MGM,"Level 3, Premier Ballroom 316, T1"
API305,Choosing the Right Messaging Service for Your Distributed App,-,"Modern cloud architectures depend on messaging services to connect and coordinate distributed applications. AWS has developed several messaging options, each optimized for specific use cases.  In this session, learn how to build message channels with Amazon SQS, Amazon SNS, Amazon Kinesis, Amazon MQ, Amazon DynamoDB streams, Redis Pub/Sub, and more. Expect to leave this session with an understanding of how to choose the messaging services that help optimize your applications.",Session,"Kuba Wojciak,Sidartha Chauhan",2018-11-28 15:15:00,2018-11-28 16:15:00,MGM,"Level 1, Grand Ballroom 122, T2"
SRV201,[REPEAT 1] Reactive Microservices with AWS Lambda,1,"In this talk, we cover the concepts of reactive microservices architecture, a set of patterns and best practices for implementing backend systems with very high scaling and availability guarantees. We show you how to implement these patterns and best practices as serverless applications using AWS technologies like AWS Lambda, Amazon API Gateway, Amazon DynamoDB, and Amazon Kinesis. In addition, we demonstrate a serverless microservice and the pitfalls to consider when running these microservices in a production environment.",Chalk Talk,Lu Hong,2018-11-28 15:15:00,2018-11-28 16:15:00,Venetian,"Level 2, Veronese 2402, T2"
SRV307,[REPEAT 1] Building Serverless Applications with GraphQL and Graph Databases,1,"In this session, learn how to build a data driven, serverless calorie tracker application with real-time, offline, and data syncing capabilities. The application provides an overview of your progress toward the calorie intake goal you've set, recommended intake remains, and breakdown of calories consumed. Use Amazon Cognito to build signup and sign-in capabilities as well as federated login to Facebook. The application integrates with AWS AppSync to provide real-time data from multiple data sources through GraphQL technology as well as offline capability. AppSync makes it easy to access this data and provide the exact information your application needs. As a bonus, learn to use Amazon Neptune, a fully managed graph database, to build a personalized recommendation engine for calorie intake.",Workshop,"Shivansh Singh,Pawan Puthran,Alon Jupiter",2018-11-28 15:15:00,2018-11-28 17:30:00,MGM,"Level 1, Grand Ballroom 120, T2"
AIM428,"Building, Training, and Deploying fast.ai Models Using Amazon SageMaker",-,"In a short space of time, fast.ai has become a popular Deep Learning library, driven by the success of the fast.ai online Massive Open Online Course (MOOC). It has allowed SW developers to achieve, in the span of a few weeks, state-of-the-art results in domains such as Computer Vision (CV), Natural Language Processing (NLP), and structured data machine learning. In this chalk talk, we go into the details of building, training, and deploying fast.ai-based models using Amazon SageMaker.",Chalk Talk,"Matthew McClean,Andrew Shaw",2018-11-28 15:15:00,2018-11-28 16:15:00,Aria West,"Level 3, Starvine 2, T2"
API401,[REPEAT 2] Manage Long-Lived Transactions with AWS Step Functions,2,"AWS Step Functions is a fully-managed serverless workflow-management service. Using visual workflows, you can easily manage long-running processes and coordinate the components of distributed applications and microservices through visual workflows. Join us to learn how you can use Step Functions to implement the Saga design pattern, which is particularly useful for dealing with the complexities of a long-lived transaction that spans across distributed components in a microservices architecture. You need your own laptop with administrator privileges, both the AWS CLI and AWS SAM CLI installed, and an active AWS account with power user access.",Builders Session,Stephen Liedig,2018-11-28 16:00:00,2018-11-28 17:00:00,Mirage,"Grand Ballroom D, Table 10, T1"
SRV372,"[REPEAT] Build Web Apps with GraphQL, AWS AppSync, and AWS Lambda",0,"In this session, learn how to build a data-driven, serverless web application with real-time, offline, and data-syncing capabilities. Learn to power your applications using AWS AppSync how GraphQL APIs differ from REST-based APIs. We design an application that helps you manage a list of popular tourist destinations and provides real-time-weather information. The application is hosted on Amazon S3, and AWS AppSync provides the API layer. We show you how GraphQL technology can be used to provide real-time data from multiple sources, such as Amazon DynamoDB, Lambda, and HTTP endpoints.",Chalk Talk,George Mao,2018-11-28 16:00:00,2018-11-28 17:00:00,MGM,"Level 1, South Concourse 104, T1"
AIM305,[REPEAT 2] Automatically Extract Metadata Using Computer Vision & Language AI Services,2,"Customers are using automatic metadata extraction to fuel new insights and provide innovative services to their customers. In this session, we walk through the basic architecture patterns for implementing automatic metadata extraction using Amazon Rekognition, Amazon Transcribe, and Amazon Comprehend. We also share how to get started with the pre-configured AWS Media Analysis Solution.",Builders Session,Sireesha Muppala,2018-11-28 16:00:00,2018-11-28 17:00:00,Mirage,"Grand Ballroom B, Table 8, T1"
API315,[REPEAT 1] Building Serverless Machine Learning Workflows,1,"Modern machine learning workflows leverage AWS services, such as Amazon Transcribe and Amazon Comprehend, to extract, validate, mutate, and enrich your data. Some might drive transactional systems that use machine learning to generate metadata for media assets, while others might derive insights by visualizing customer interaction sentiment from call logs. They all share a common challenge: orchestrating a combination of distinct sequential and parallel steps that are fulfilled by independent microservices. Join us as we examine how workflows can be used to manage that orchestration in a way that is scalable, reliable, and easy to maintain and run. We contrast two approaches for creating such workflows: a traditional monolithic approach and a serverless approach utilizing AWS Steps Functions.",Chalk Talk,Ronald Widha Sunarno,2018-11-28 16:45:00,2018-11-28 17:45:00,MGM,"Level 3, North Concourse 307, T2"
